Nephilingis_cruentata	1	2	3	4	5	6	7	8	9	10	11	12	13
Amaurobius_ferox	4	x1	3	7	6	12	x1	5	8	1	15	2	16
Nephilingis_cruentata-Amaurobius_ferox-percCountMax	0.4558059	0.4533074	0.4598250	0.4145455	0.4597250	0.2878315	0.3110368	0.4276169	0.5319149	0.5388046	0.4445607	0.5762004	0.4966518
Araneus_marmoreus	7	13	5	8	4	2	12	11	10	6	1	9	3
Nephilingis_cruentata-Araneus_marmoreus-percCountMax	0.9586073	0.9718011	0.9578844	0.9381993	0.9163090	0.9376426	0.9750333	0.9151644	0.9630409	0.9748758	0.9611147	0.8901895	0.9595803
Argiope_bruennichi	1	x2	4	2	5	3	x1	10	9	8	6	11	7
Nephilingis_cruentata-Argiope_bruennichi-percCountMax	0.9573687	0.9632184	0.9416689	0.9626412	0.9345096	0.9645966	0.9557910	0.9126177	0.9580103	0.9731877	0.9705779	0.8899083	0.9590294
Dysdera_silvatica	4	1	5	3	5	2	1	2	2	4	5	4	6
Nephilingis_cruentata-Dysdera_silvatica-percCountMax	0.2316258	0.6509901	0.2079395	0.3404255	0.2307692	0.3245779	0.5508475	0.3370166	0.1820175	0.3115468	0.5065617	0.2763158	0.3428571
Ectatosticta_davidi	11	3	7	8	1	6	2	7	5	8	14	15	9
Nephilingis_cruentata-Ectatosticta_davidi-percCountMax	0.2770398	0.4317073	0.1642036	0.2128440	0.2458333	0.3910891	0.2591687	0.4270833	0.2624254	0.2474849	0.5032967	0.2329749	0.2907950
Gibbaranea_gibbosa	3	x1	2	4	1	5	x2	7	1	6	2	8	3
Nephilingis_cruentata-Gibbaranea_gibbosa-percCountMax	0.7006883	0.9683677	0.7978646	0.9663866	0.9443261	0.9660387	0.9707333	0.9254096	0.9708514	0.9821074	0.7180851	0.8781267	0.7800000
Hylyphantes_graminicola	3	12	7	1	4	9	13	8	5	6	11	2	10
Nephilingis_cruentata-Hylyphantes_graminicola-percCountMax	0.9359382	0.5084007	0.9441931	0.9316155	0.9254902	0.9391218	0.5769474	0.9076155	0.9349398	0.9489535	0.9339320	0.8617318	0.9141414
Larinioides_cornutus	2	x1	5	1	8	4	x2	10	9	7	6	11	3
Nephilingis_cruentata-Larinioides_cornutus-percCountMax	0.9640644	0.9693721	0.9378958	0.9592948	0.9338255	0.9670443	0.9648142	0.9236209	0.9474453	0.9739918	0.9729643	0.8849468	0.9631811
Latrodectus_elegans	12	1	2	14	3	2	9	7	10	5	6	5	11
Nephilingis_cruentata-Latrodectus_elegans-percCountMax	0.7797203	0.7831603	0.3041475	0.5452210	0.6694561	0.5000000	0.7205575	0.6518283	0.4494068	0.5286195	0.7184731	0.6407538	0.8009295
Meta_bourneti	1	x2	2	3	6	4	x1	10	5	8	7	11	9
Nephilingis_cruentata-Meta_bourneti-percCountMax	0.9331671	0.6880190	0.9473976	0.9499716	0.9514731	0.9463821	0.7024242	0.9210526	0.9241101	0.9330617	0.9194824	0.8543834	0.9255230
Oedothorax_gibbosus	11	x2	10	3	4	1	x2	7	9	8	2	6	5
Nephilingis_cruentata-Oedothorax_gibbosus-percCountMax	0.9212207	0.3643032	0.9378284	0.9497717	0.9495798	0.9435933	0.3140496	0.8871951	0.9405714	0.9542857	0.9600726	0.8646409	0.9267707
Parasteatoda_lunata	2	x1	3	5	6	4	x2	10	1	7	8	1	9
Nephilingis_cruentata-Parasteatoda_lunata-percCountMax	0.8336043	0.7920354	0.8067093	0.7622455	0.8182981	0.8497984	0.6917910	0.8285714	0.6685796	0.8153477	0.8029046	0.7506562	0.8437002
Pardosa_pseudoannulata	14	6	12	9	5	10	7	2	13	15	11	2	1
Nephilingis_cruentata-Pardosa_pseudoannulata-percCountMax	0.4402080	0.6088180	0.4398998	0.4220779	0.4715852	0.4140893	0.4989224	0.4216867	0.5057471	0.5327468	0.4282700	0.5224215	0.4975610
Tetragnatha_montana	2	x2	3	6	7	1	x1	11	8	10	9	5	4
Nephilingis_cruentata-Tetragnatha_montana-percCountMax	0.9267868	0.4736842	0.9358151	0.9494087	0.9242119	0.9369847	0.4686227	0.9281609	0.8941634	0.9208585	0.9089418	0.8743455	0.9148936
Trichonephila_antipodiana	2	13	6	1	4	11	12	10	5	8	7	3	9
Nephilingis_cruentata-Trichonephila_antipodiana-percCountMax	0.8576313	0.6004998	0.6705344	0.8005155	0.6825760	0.6093540	0.6018134	0.6969900	0.5996721	0.6801866	0.6682077	0.6113131	0.6219269
Uloborus_diversus	4	10	1	6	1	1	3	9	7	5	4	5	8
Nephilingis_cruentata-Uloborus_diversus-percCountMax	0.4876219	0.4365971	0.6447462	0.4214744	0.4706414	0.3038434	0.5767241	0.4331021	0.4509624	0.8275261	0.5422046	0.6405622	0.4220779
