Oedothorax_gibbosus	1	2	2	3	4	5	6	7	8	9	10	11	x1	x2
Amaurobius_ferox	18	17	15	7	6	16	2	5	1	8	3	4	x2	x1
Oedothorax_gibbosus-Amaurobius_ferox-percCountMax	0.2755814	0.4062910	0.4062910	0.4601227	0.4402174	0.4504065	0.5400000	0.4728097	0.5214286	0.5939597	0.4725849	0.4664680	0.4306931	0.3906250
Araneus_marmoreus	2	1	1	8	4	3	9	11	6	10	5	7	13	13
Oedothorax_gibbosus-Araneus_marmoreus-percCountMax	0.9191781	0.9075488	0.9075488	0.8475177	0.7592191	0.9088838	0.6361702	0.8201923	0.9094457	0.9049145	0.8920687	0.8977747	0.7362319	0.6763926
Argiope_bruennichi	3	6	6	2	5	7	11	10	8	9	4	1	x2	x2
Oedothorax_gibbosus-Argiope_bruennichi-percCountMax	0.9385848	0.9008547	0.9008547	0.8818419	0.8084147	0.9003476	0.6644880	0.8265836	0.9252188	0.9040000	0.8842975	0.9107780	0.7272727	0.6817102
Dysdera_silvatica	2	5	5	3	5	6	4	2	4	2	1	1	1	1
Oedothorax_gibbosus-Dysdera_silvatica-percCountMax	0.3385827	0.5169231	0.5169231	0.3583062	0.2242744	0.3928571	0.2657343	0.3878327	0.3125000	0.1978417	0.2017045	0.2287582	0.6756757	0.5529412
Ectatosticta_davidi	6	14	14	8	12	9	15	7	8	5	7	11	3	3
Oedothorax_gibbosus-Ectatosticta_davidi-percCountMax	0.3935185	0.4869110	0.4869110	0.1878613	0.1995249	0.3757225	0.2307692	0.4474576	0.2553846	0.3059211	0.1719902	0.2528736	0.5200000	0.2333333
Gibbaranea_gibbosa	5	2	2	4	1	3	8	7	6	1	2	3	x1	x1
Oedothorax_gibbosus-Gibbaranea_gibbosa-percCountMax	0.9413351	0.6372968	0.6372968	0.8916519	0.8192771	0.8042506	0.6688312	0.8287671	0.9079563	0.9122056	0.7155592	0.6764706	0.7250000	0.6708229
Hylyphantes_graminicola	9	11	11	1	4	10	2	8	6	5	7	3	13	12
Oedothorax_gibbosus-Hylyphantes_graminicola-percCountMax	0.9420290	0.9262115	0.9262115	0.9165798	0.9096774	0.9456647	0.8558352	0.9551020	0.9664740	0.9378961	0.9250000	0.9622857	0.9461538	0.8387097
Larinioides_cornutus	4	6	6	1	8	3	11	10	7	9	5	2	x1	x1
Oedothorax_gibbosus-Larinioides_cornutus-percCountMax	0.9435173	0.9009662	0.9009662	0.8757396	0.8019663	0.9107143	0.6349558	0.8281398	0.9166029	0.9052083	0.8828685	0.8957346	0.7346939	0.6792929
Latrodectus_elegans	2	6	6	14	3	11	5	7	5	10	2	12	1	1
Oedothorax_gibbosus-Latrodectus_elegans-percCountMax	0.5338617	0.6879630	0.6879630	0.5576172	0.6288660	0.8187275	0.5367483	0.5898030	0.4911628	0.4571429	0.3156900	0.8102837	0.7054795	0.6440217
Meta_bourneti	4	7	7	3	6	9	11	10	8	5	2	1	x2	x2
Oedothorax_gibbosus-Meta_bourneti-percCountMax	0.9224205	0.8775304	0.8775304	0.8892439	0.8605263	0.8908629	0.6684783	0.8556338	0.9105928	0.9012821	0.9072266	0.9152982	0.7713178	0.6122449
Nephilingis_cruentata	6	11	11	4	5	13	12	8	10	9	3	1	2	2
Oedothorax_gibbosus-Nephilingis_cruentata-percCountMax	0.9325997	0.9043553	0.9043553	0.9099650	0.8524096	0.9029240	0.7279070	0.8671952	0.9299920	0.9344633	0.9225473	0.9304659	0.7147335	0.6780822
Parasteatoda_lunata	4	8	8	5	6	9	1	10	7	1	3	2	x1	x1
Oedothorax_gibbosus-Parasteatoda_lunata-percCountMax	0.8539924	0.7722587	0.7722587	0.7514793	0.7631345	0.8653611	0.6350000	0.8232558	0.8024119	0.7238443	0.8377322	0.8541284	0.7368421	0.6569767
Pardosa_pseudoannulata	10	11	11	9	5	1	2	2	15	13	12	14	6	6
Oedothorax_gibbosus-Pardosa_pseudoannulata-percCountMax	0.4135338	0.4040996	0.4040996	0.4654655	0.4719562	0.4585448	0.4661654	0.4318555	0.5264798	0.5631579	0.4516575	0.4470939	0.7409091	0.4550000
Tetragnatha_montana	1	9	9	6	7	4	5	11	10	8	3	2	x2	x1
Oedothorax_gibbosus-Tetragnatha_montana-percCountMax	0.9086758	0.8715815	0.8715815	0.8778999	0.8329939	0.8789174	0.7119741	0.8531856	0.8994220	0.8966027	0.8851894	0.9015228	0.6793478	0.4930070
Trichonephila_antipodiana	11	7	7	1	4	9	3	10	8	5	6	2	13	13
Oedothorax_gibbosus-Trichonephila_antipodiana-percCountMax	0.5202193	0.6074919	0.6074919	0.7740864	0.6903704	0.5418502	0.4773756	0.6493384	0.6277317	0.5993377	0.6216667	0.7548611	0.5964392	0.4466501
Uloborus_diversus	1	4	4	2	1	8	5	9	5	6	1	4	10	3
Oedothorax_gibbosus-Uloborus_diversus-percCountMax	0.2900208	0.4769776	0.4769776	0.4066924	0.4361335	0.4290030	0.5968750	0.4081365	0.8276299	0.4354839	0.6505313	0.4783105	0.6818182	0.4339623
