Trichonephila_antipodiana	1	2	3	4	5	6	7	8	8	9	10	11	12	13
Amaurobius_ferox	7	4	2	6	8	3	15	1	1	16	5	12	x1	x1
Trichonephila_antipodiana-Amaurobius_ferox-percCountMax	0.3154524	0.3719270	0.2044534	0.3011121	0.3380910	0.3508443	0.3236246	0.4038113	0.4038113	0.3080308	0.3009212	0.3337156	0.2962963	0.4114002
Araneus_marmoreus	8	7	9	4	10	5	1	6	6	3	11	2	12	13
Trichonephila_antipodiana-Araneus_marmoreus-percCountMax	0.7268260	0.8049152	0.3107817	0.6288823	0.5489575	0.7279431	0.6276327	0.6502242	0.6502242	0.5706485	0.6635914	0.7135833	0.6741088	0.8682635
Argiope_bruennichi	2	1	11	5	9	4	6	8	8	7	10	3	x1	x2
Trichonephila_antipodiana-Argiope_bruennichi-percCountMax	0.7472254	0.7947489	0.3337958	0.6366231	0.5514647	0.7308108	0.6422741	0.6576827	0.6576827	0.5661518	0.6548055	0.7413793	0.6666667	0.8746306
Dysdera_silvatica	3	4	2	2	2	1	5	4	4	6	2	2	1	1
Trichonephila_antipodiana-Dysdera_silvatica-percCountMax	0.2978304	0.2484342	0.1822126	0.1995360	0.2085890	0.2206573	0.3469388	0.2383073	0.2383073	0.2553763	0.3299233	0.2732240	0.4422535	0.5548173
Ectatosticta_davidi	8	11	6	1	5	7	14	8	11	11	7	6	2	3
Trichonephila_antipodiana-Ectatosticta_davidi-percCountMax	0.1787611	0.2469352	0.1154599	0.1870229	0.1627057	0.1622718	0.3287356	0.1677149	0.1677149	0.2539326	0.3440594	0.3451777	0.2238806	0.3993506
Gibbaranea_gibbosa	4	3	8	1	1	2	2	6	6	3	7	5	x2	x1
Trichonephila_antipodiana-Gibbaranea_gibbosa-percCountMax	0.7424307	0.5821586	0.3159958	0.6866370	0.5872449	0.6258363	0.5036735	0.6604113	0.6604113	0.4457390	0.6608392	0.7483118	0.6636397	0.8649706
Hylyphantes_graminicola	1	3	2	4	5	7	11	6	6	10	8	9	13	12
Trichonephila_antipodiana-Hylyphantes_graminicola-percCountMax	0.7315315	0.7764858	0.2421178	0.6509573	0.5605649	0.7242165	0.6245399	0.6684864	0.6684864	0.5676067	0.6940204	0.7049519	0.4377745	0.4364372
Larinioides_cornutus	1	2	11	8	9	5	6	7	7	3	10	4	x2	x1
Trichonephila_antipodiana-Larinioides_cornutus-percCountMax	0.7453135	0.8065887	0.3252096	0.6375899	0.5388060	0.7165156	0.6354479	0.6631826	0.6631826	0.5597668	0.6626506	0.7464318	0.6582950	0.8713660
Latrodectus_elegans	14	12	5	3	10	2	6	5	5	11	7	2	9	1
Trichonephila_antipodiana-Latrodectus_elegans-percCountMax	0.4329995	0.6389699	0.2425743	0.4800219	0.2360775	0.2667888	0.5307487	0.3436620	0.3436620	0.4640387	0.4522059	0.3345936	0.4678683	0.6831149
Meta_bourneti	3	1	11	6	5	2	7	8	8	9	10	4	x1	x2
Trichonephila_antipodiana-Meta_bourneti-percCountMax	0.7179487	0.7758370	0.2272416	0.6623116	0.5344224	0.6874214	0.6162410	0.6541353	0.6541353	0.5633694	0.6615266	0.7158852	0.6052250	0.6066090
Nephilingis_cruentata	4	1	12	5	9	3	11	10	10	13	8	6	7	2
Trichonephila_antipodiana-Nephilingis_cruentata-percCountMax	0.7473532	0.7815864	0.4355581	0.6279699	0.5944101	0.7356784	0.6301140	0.6656129	0.6656129	0.6417552	0.7350970	0.7358797	0.6620948	0.8503539
Oedothorax_gibbosus	3	11	6	4	9	10	2	8	8	5	7	1	4	x1
Trichonephila_antipodiana-Oedothorax_gibbosus-percCountMax	0.7581433	0.7794540	0.2242295	0.6617021	0.5278049	0.7667009	0.7138756	0.6712329	0.6712329	0.5502232	0.7231579	0.7194313	0.1588367	0.3082822
Parasteatoda_lunata	5	2	1	6	1	3	8	7	7	9	10	4	x2	x1
Trichonephila_antipodiana-Parasteatoda_lunata-percCountMax	0.6061835	0.6750000	0.2959459	0.5838474	0.3912508	0.6239901	0.5591472	0.5541667	0.5541667	0.4730496	0.5944056	0.6429993	0.4782609	0.6992418
Pardosa_pseudoannulata	9	14	2	5	13	12	11	15	15	1	2	12	7	6
Trichonephila_antipodiana-Pardosa_pseudoannulata-percCountMax	0.3358396	0.3851976	0.2622222	0.3297872	0.3306306	0.3405088	0.2955289	0.4039924	0.4039924	0.3157290	0.3390607	0.3375157	0.3294118	0.5664671
Tetragnatha_montana	6	2	5	7	8	3	9	10	10	4	11	1	x1	x1
Trichonephila_antipodiana-Tetragnatha_montana-percCountMax	0.7341176	0.7805158	0.2337553	0.6423008	0.5171209	0.6838565	0.6185647	0.6444740	0.6444740	0.5420475	0.6923828	0.7054908	0.3479924	0.3937709
Uloborus_diversus	6	4	5	1	7	1	4	5	5	8	7	1	3	10
Trichonephila_antipodiana-Uloborus_diversus-percCountMax	0.3442266	0.4458509	0.2152714	0.3686306	0.3015485	0.5106732	0.3604888	0.5569927	0.5569927	0.2773109	0.3037975	0.3808050	0.3859822	0.4337486
