Uloborus_diversus	1	10	2	3	4	5	6	7	8	8	9
Amaurobius_ferox	3	x1	9	x1	4	1	8	14	6	6	5
Uloborus_diversus-Amaurobius_ferox-percCountMax	0.2671192	0.3784530	0.2504348	0.2849937	0.3660952	0.4269055	0.2992908	0.4275828	0.3960505	0.3960505	0.3954248
Araneus_marmoreus	5	13	7	12	7	6	8	10	3	3	11
Uloborus_diversus-Araneus_marmoreus-percCountMax	0.4156570	0.5187901	0.2921602	0.4719521	0.4051027	0.6002647	0.3763608	0.3885848	0.4090452	0.4090452	0.3285586
Argiope_bruennichi	4	x2	1	x1	1	8	2	9	7	7	10
Uloborus_diversus-Argiope_bruennichi-percCountMax	0.4118421	0.5088339	0.2851562	0.4642113	0.3983500	0.6292278	0.3947750	0.3759513	0.3832117	0.3832117	0.3367876
Dysdera_silvatica	2	1	3	1	5	4	3	1	6	6	2
Uloborus_diversus-Dysdera_silvatica-percCountMax	0.2088710	0.6007905	0.2304484	0.4774436	0.2273731	0.2926239	0.2932243	0.2020349	0.2352049	0.2352049	0.2708978
Ectatosticta_davidi	7	3	6	3	11	15	5	7	11	11	7
Uloborus_diversus-Ectatosticta_davidi-percCountMax	0.1618705	0.4215017	0.1706485	0.2628435	0.1990000	0.2152174	0.1989418	0.1824147	0.1794521	0.1794521	0.1968839
Gibbaranea_gibbosa	2	x1	3	x2	2	6	4	1	3	3	7
Uloborus_diversus-Gibbaranea_gibbosa-percCountMax	0.3939680	0.5056391	0.3003492	0.4860681	0.3666458	0.6081525	0.3696145	0.3950807	0.3840156	0.3840156	0.3420822
Hylyphantes_graminicola	7	12	3	13	3	6	1	5	4	10	8
Uloborus_diversus-Hylyphantes_graminicola-percCountMax	0.4103568	0.4027273	0.2823974	0.3718944	0.3884892	0.6240240	0.3779935	0.3632597	0.3778163	0.3778163	0.3812950
Larinioides_cornutus	5	x1	2	x2	2	7	1	9	3	3	10
Uloborus_diversus-Larinioides_cornutus-percCountMax	0.4057971	0.5091703	0.2728273	0.4564254	0.3905978	0.6031949	0.4004329	0.3961318	0.3931545	0.3931545	0.3396880
Latrodectus_elegans	2	1	12	9	12	5	14	7	11	11	7
Uloborus_diversus-Latrodectus_elegans-percCountMax	0.2447037	0.5012300	0.2643062	0.3818493	0.3536045	0.5605870	0.2547710	0.2273929	0.3580175	0.3580175	0.3196622
Meta_bourneti	2	x2	1	x1	1	8	3	5	6	6	10
Uloborus_diversus-Meta_bourneti-percCountMax	0.4155271	0.4509990	0.2861789	0.4453333	0.4045402	0.6433424	0.3858322	0.3631457	0.3909091	0.3909091	0.3641869
Nephilingis_cruentata	3	2	4	7	1	10	4	9	5	5	8
Uloborus_diversus-Nephilingis_cruentata-percCountMax	0.4190255	0.4757709	0.2840467	0.4547311	0.3949122	0.6301461	0.3929903	0.3745203	0.3754717	0.3754717	0.3895297
Oedothorax_gibbosus	10	x1	3	x2	11	8	3	9	4	4	7
Uloborus_diversus-Oedothorax_gibbosus-percCountMax	0.3940043	0.2909483	0.2802829	0.2381930	0.3873957	0.6572295	0.3675613	0.3249701	0.3891892	0.3891892	0.3588850
Parasteatoda_lunata	3	x1	2	x1	2	7	5	10	9	9	10
Uloborus_diversus-Parasteatoda_lunata-percCountMax	0.3812950	0.4919654	0.2823054	0.3786008	0.3757178	0.5534944	0.3466019	0.3176284	0.3713768	0.3713768	0.3592175
Pardosa_pseudoannulata	12	6	9	7	14	15	13	10	5	5	2
Uloborus_diversus-Pardosa_pseudoannulata-percCountMax	0.4080079	0.5716814	0.3430099	0.4499089	0.3717839	0.4314627	0.2866242	0.4271523	0.3972765	0.3972765	0.4173964
Tetragnatha_montana	3	x2	6	x1	2	10	6	8	4	4	11
Uloborus_diversus-Tetragnatha_montana-percCountMax	0.4177215	0.4896970	0.2822430	0.3832781	0.4024473	0.6365008	0.3751017	0.3585253	0.3792049	0.3792049	0.3681043
Trichonephila_antipodiana	6	13	1	12	2	8	1	5	4	4	10
Uloborus_diversus-Trichonephila_antipodiana-percCountMax	0.2816456	0.3401603	0.2383532	0.2904903	0.3853600	0.4338189	0.3516729	0.2799390	0.2704762	0.2704762	0.2647310
