Gibbaranea_gibbosa	1	2	3	4	5	6	7	8	x1	x2	9	10	11
Amaurobius_ferox	8	3	4	7	12	1	5	2	x1	x1	15	16	10
Gibbaranea_gibbosa-Amaurobius_ferox-percCountMax	0.2803181	0.3337196	0.2251481	0.4227405	0.2835012	0.5089109	0.3866397	0.5787140	0.4205405	0.2995444	0.2647929	0.6730769	0.6046512
Araneus_marmoreus	10	5	7	8	2	6	11	9	13	12	7	3	5
Gibbaranea_gibbosa-Araneus_marmoreus-percCountMax	0.5013994	0.5798784	0.5118823	0.9391450	0.9567176	0.9587698	0.9206103	0.9112200	0.9685400	0.9631612	0.4991730	0.9354839	0.9600798
Argiope_bruennichi	5	4	1	2	3	8	10	11	x2	x1	1	7	4
Gibbaranea_gibbosa-Argiope_bruennichi-percCountMax	0.5035400	0.5865385	0.5308767	0.9730145	0.9905617	0.9815217	0.9705056	0.9547589	0.9846254	0.9741069	0.5431472	0.8374512	0.9570312
Dysdera_silvatica	2	5	4	3	2	4	2	4	1	1	5	4	1
Gibbaranea_gibbosa-Dysdera_silvatica-percCountMax	0.2152358	0.3313522	0.2798165	0.3294664	0.3001912	0.3126551	0.3060686	0.2474227	0.6684211	0.5341246	0.2531646	0.3861386	0.2087912
Ectatosticta_davidi	11	14	11	8	6	8	7	15	3	2	14	11	1
Gibbaranea_gibbosa-Ectatosticta_davidi-percCountMax	0.1642562	0.2450980	0.2555701	0.2269807	0.3902439	0.2157676	0.3674419	0.2369478	0.3939394	0.2797927	0.3230769	0.4485981	0.1842105
Hylyphantes_graminicola	5	7	3	1	9	6	8	2	12	13	3	10	7
Gibbaranea_gibbosa-Hylyphantes_graminicola-percCountMax	0.4574986	0.5636614	0.5252918	0.9301333	0.9314062	0.9198992	0.8034714	0.8781575	0.5119363	0.5735580	0.5376532	0.9300000	0.9263456
Larinioides_cornutus	9	5	2	1	4	7	10	11	x1	x2	2	3	5
Gibbaranea_gibbosa-Larinioides_cornutus-percCountMax	0.4951467	0.5720078	0.5128320	0.9572059	0.9819072	0.9756517	0.9668994	0.9184669	0.9809705	0.9537067	0.5113677	0.9217290	0.9467259
Latrodectus_elegans	3	6	12	14	2	5	7	5	1	9	12	11	2
Gibbaranea_gibbosa-Latrodectus_elegans-percCountMax	0.3529605	0.5116279	0.4479208	0.5747664	0.4990060	0.5168801	0.5945537	0.6507503	0.8071749	0.7446198	0.4532020	0.5174129	0.5523256
Meta_bourneti	6	2	1	3	4	8	10	11	x2	x1	1	9	2
Gibbaranea_gibbosa-Meta_bourneti-percCountMax	0.4850519	0.5607367	0.5272082	0.9449649	0.9276511	0.9226226	0.8424197	0.8530806	0.7169118	0.6879174	0.5412574	0.8432432	0.9418182
Nephilingis_cruentata	5	3	1	4	6	10	8	12	2	7	1	13	3
Gibbaranea_gibbosa-Nephilingis_cruentata-percCountMax	0.4898439	0.5759860	0.5629177	0.9720871	0.9570552	0.9645746	0.9110577	0.9500000	0.9560861	0.9565640	0.5578999	0.9041353	0.9731744
Oedothorax_gibbosus	4	10	11	3	1	8	7	6	x2	x2	11	5	10
Gibbaranea_gibbosa-Oedothorax_gibbosus-percCountMax	0.5288462	0.5133877	0.5282501	0.9497630	0.9312417	0.9180457	0.7866419	0.8587258	0.3517787	0.3105413	0.4764543	0.8938053	0.9419643
Parasteatoda_lunata	6	3	2	5	4	7	10	1	x1	x2	2	9	3
Gibbaranea_gibbosa-Parasteatoda_lunata-percCountMax	0.4306252	0.5205905	0.4519953	0.7867690	0.8488778	0.7984069	0.7431386	0.7753623	0.8306082	0.7009063	0.4699140	0.7384615	0.7809524
Pardosa_pseudoannulata	5	12	14	9	10	15	10	2	6	7	14	1	4
Gibbaranea_gibbosa-Pardosa_pseudoannulata-percCountMax	0.3775671	0.2978986	0.4102564	0.4146341	0.4129521	0.5129534	0.3681917	0.5526932	0.6375635	0.4736251	0.2772277	0.6644295	0.5485437
Tetragnatha_montana	7	3	2	6	1	10	11	5	x2	x2	2	4	3
Gibbaranea_gibbosa-Tetragnatha_montana-percCountMax	0.4665916	0.5562701	0.5278450	0.9436009	0.9239521	0.9204545	0.8388313	0.8496094	0.4665445	0.4880658	0.5482234	0.8289474	0.8708333
Trichonephila_antipodiana	4	6	2	1	11	8	10	3	13	12	2	9	6
Gibbaranea_gibbosa-Trichonephila_antipodiana-percCountMax	0.3890432	0.3861795	0.4885200	0.8267268	0.5430036	0.6540913	0.6545856	0.6445271	0.6291655	0.5637149	0.5591493	0.7158879	0.5774457
Uloborus_diversus	7	1	2	6	1	5	7	5	10	3	4	8	1
Gibbaranea_gibbosa-Uloborus_diversus-percCountMax	0.2437293	0.4527687	0.2916667	0.4364937	0.3145161	0.8431550	0.3843175	0.6511628	0.4807864	0.5701275	0.4583921	0.3926380	0.5167464
