Latrodectus_elegans	1	2	3	4	5	6	7	8	9	10	11	12	13	14
Amaurobius_ferox	x1	3	6	3	2	15	5	18	x3	8	16	4	1	7
Latrodectus_elegans-Amaurobius_ferox-percCountMax	0.4231614	0.2070576	0.4397463	0.2492997	0.3779932	0.2846034	0.4214809	0.1977401	0.3005339	0.5518359	0.3341463	0.4419740	0.3301806	0.3367627
Araneus_marmoreus	13	2	4	5	6	1	11	2	12	10	3	7	6	8
Latrodectus_elegans-Araneus_marmoreus-percCountMax	0.7741369	0.5062241	0.7665165	0.4736318	0.5219400	0.5270740	0.7059925	0.4893951	0.8285024	0.7295742	0.7055256	0.8297650	0.5109290	0.6372679
Argiope_bruennichi	x2	3	5	4	8	6	10	3	x1	9	7	1	8	2
Latrodectus_elegans-Argiope_bruennichi-percCountMax	0.7586969	0.5327992	0.7746377	0.4938036	0.5078506	0.5247954	0.6995556	0.4913728	0.8010393	0.7277904	0.7082786	0.8202010	0.4982699	0.6670854
Dysdera_silvatica	1	2	5	1	4	5	2	3	1	6	4	4	4	3
Latrodectus_elegans-Dysdera_silvatica-percCountMax	0.6025848	0.2423841	0.2283186	0.2793177	0.2731152	0.3405890	0.3308824	0.2488038	0.5028463	0.1924883	0.2879499	0.2338377	0.2354086	0.3413462
Ectatosticta_davidi	3	6	1	7	15	14	7	6	3	5	9	11	8	8
Latrodectus_elegans-Ectatosticta_davidi-percCountMax	0.3874644	0.2411022	0.2551506	0.2072243	0.2640523	0.3397291	0.4210526	0.2296296	0.2931354	0.3036876	0.2398317	0.2657602	0.1657658	0.1852941
Gibbaranea_gibbosa	x1	5	1	2	6	2	7	5	x2	1	3	3	6	4
Latrodectus_elegans-Gibbaranea_gibbosa-percCountMax	0.7683374	0.5180972	0.8116490	0.4891732	0.5234700	0.6577799	0.7132486	0.4878431	0.8302642	0.7336504	0.6490541	0.6054458	0.5175439	0.6437908
Hylyphantes_graminicola	12	9	4	7	6	11	8	9	13	5	10	3	6	1
Latrodectus_elegans-Hylyphantes_graminicola-percCountMax	0.4473148	0.5128345	0.7913299	0.4721346	0.5383200	0.5331633	0.7613636	0.4751055	0.4618117	0.7415036	0.6700063	0.8315848	0.5313263	0.6675192
Larinioides_cornutus	x1	4	8	5	7	6	10	4	x2	9	3	2	7	1
Latrodectus_elegans-Larinioides_cornutus-percCountMax	0.7634593	0.5405014	0.7729573	0.4841713	0.5201794	0.5277910	0.7225177	0.4969834	0.8164852	0.7239057	0.6978093	0.8242549	0.5125977	0.6558877
Meta_bourneti	x2	4	6	2	8	7	10	4	x1	5	9	1	8	3
Latrodectus_elegans-Meta_bourneti-percCountMax	0.5812689	0.5557975	0.8226164	0.5132556	0.5632873	0.5726987	0.7611798	0.4800326	0.5886027	0.7313770	0.6925000	0.8531390	0.5113524	0.6762350
Nephilingis_cruentata	2	6	5	3	10	11	8	6	7	9	13	1	10	4
Latrodectus_elegans-Nephilingis_cruentata-percCountMax	0.7405995	0.5259970	0.7974230	0.4889529	0.5125958	0.5231458	0.7450091	0.4731264	0.7851177	0.7218468	0.6950067	0.8207696	0.5008711	0.6573730
Oedothorax_gibbosus	x2	1	4	10	8	2	7	1	x2	9	5	11	8	3
Latrodectus_elegans-Oedothorax_gibbosus-percCountMax	0.3097113	0.5899919	0.8446262	0.4945055	0.5477178	0.6047270	0.7551929	0.5234160	0.2482993	0.7252964	0.7285408	0.8181818	0.5220207	0.6566125
Parasteatoda_lunata	x1	4	6	3	7	8	10	4	x2	1	9	2	7	5
Latrodectus_elegans-Parasteatoda_lunata-percCountMax	0.6956522	0.5415210	0.8800648	0.5225035	0.4709927	0.5854859	0.8149038	0.4942792	0.6240223	0.7005742	0.7434102	0.8735942	0.4633688	0.6809623
Pardosa_pseudoannulata	6	12	5	12	15	11	2	10	7	13	1	14	15	8
Latrodectus_elegans-Pardosa_pseudoannulata-percCountMax	0.5539243	0.3128492	0.4756757	0.2510288	0.3676471	0.2675439	0.4115490	0.2151118	0.4617785	0.5361174	0.3268983	0.4234896	0.3430924	0.3902266
Tetragnatha_montana	x2	1	7	3	10	9	11	1	x2	8	4	2	10	6
Latrodectus_elegans-Tetragnatha_montana-percCountMax	0.4381933	0.5485893	0.7885714	0.5029727	0.5515110	0.5522388	0.7483589	0.4799253	0.4931003	0.7347447	0.6919708	0.8527285	0.5005429	0.7001499
Trichonephila_antipodiana	13	11	4	6	8	7	10	11	12	5	9	2	8	1
Latrodectus_elegans-Trichonephila_antipodiana-percCountMax	0.5163170	0.2633416	0.6146853	0.3827977	0.3385128	0.3770180	0.5325804	0.2984733	0.4515885	0.4494774	0.4296774	0.6823161	0.3745791	0.5508836
Uloborus_diversus	10	1	8	1	5	4	9	2	3	6	8	4	5	6
Latrodectus_elegans-Uloborus_diversus-percCountMax	0.4117647	0.3924175	0.3806541	0.3706356	0.7249594	0.3576642	0.4121780	0.3509650	0.5732648	0.4538387	0.3543717	0.4301235	0.4371308	0.3425273
