Araneus_marmoreus	1	2	3	3	4	5	5	6	7	8	9	10	11	12	13
Amaurobius_ferox	15	12	16	16	6	3	3	1	4	7	2	8	5	x1	x1
Araneus_marmoreus-Amaurobius_ferox-percCountMax	0.4337349	0.2967290	0.4605856	0.4605856	0.4542714	0.4801298	0.4801298	0.5100671	0.4676131	0.4148430	0.5777778	0.5111336	0.3919492	0.3135011	0.4249234
Argiope_bruennichi	6	3	7	7	5	4	4	8	1	2	11	9	10	x1	x2
Araneus_marmoreus-Argiope_bruennichi-percCountMax	0.9771581	0.9674017	0.9557022	0.9557022	0.9667298	0.9855208	0.9855208	0.9774127	0.9773103	0.9619070	0.9630137	0.9838319	0.9582424	0.9740970	0.9817505
Dysdera_silvatica	5	2	4	4	2	3	3	4	4	3	4	2	2	1	1
Araneus_marmoreus-Dysdera_silvatica-percCountMax	0.4910026	0.3009174	0.3408521	0.3408521	0.2094763	0.2170385	0.2170385	0.3180723	0.2627907	0.3046683	0.2717949	0.2030238	0.3387534	0.5437500	0.6842105
Ectatosticta_davidi	14	6	11	9	1	7	7	8	11	8	15	5	7	2	3
Araneus_marmoreus-Ectatosticta_davidi-percCountMax	0.5462555	0.3745981	0.2658487	0.2658487	0.2171053	0.1837456	0.1837456	0.2135524	0.2504744	0.2188841	0.2416667	0.2862823	0.4139651	0.2546917	0.4093137
Gibbaranea_gibbosa	2	5	3	3	1	2	2	6	3	4	8	1	7	x2	x1
Araneus_marmoreus-Gibbaranea_gibbosa-percCountMax	0.6545496	0.9511388	0.7168405	0.7168405	0.9529970	0.7910307	0.7910307	0.9570538	0.6909754	0.9530214	0.9260797	0.9652972	0.9365579	0.9723634	0.9577167
Hylyphantes_graminicola	11	9	10	10	4	7	7	6	3	1	2	5	8	13	12
Araneus_marmoreus-Hylyphantes_graminicola-percCountMax	0.8942308	0.9109489	0.8503076	0.8503076	0.8942139	0.9203110	0.9203110	0.9179066	0.9151488	0.9244186	0.8516320	0.8716606	0.8186047	0.5613062	0.5006460
Larinioides_cornutus	6	4	3	3	8	5	5	7	2	1	11	9	10	x2	x1
Araneus_marmoreus-Larinioides_cornutus-percCountMax	0.9667730	0.9603740	0.9657534	0.9657534	0.9551478	0.9648967	0.9648967	0.9624277	0.9696904	0.9619087	0.9510269	0.9677652	0.9511918	0.9726079	0.9665054
Latrodectus_elegans	6	2	11	11	3	2	6	5	12	14	5	10	7	9	1
Araneus_marmoreus-Latrodectus_elegans-percCountMax	0.7371706	0.4870904	0.8003049	0.8003049	0.6549296	0.3045093	0.3045093	0.5209650	0.8007064	0.5589773	0.6697861	0.4353508	0.5923617	0.7281073	0.8016929
Meta_bourneti	7	4	9	9	6	2	2	8	1	3	11	5	10	x1	x2
Araneus_marmoreus-Meta_bourneti-percCountMax	0.9078212	0.9045201	0.8825348	0.8825348	0.9004174	0.9494892	0.9494892	0.9051826	0.9114557	0.9280236	0.8555556	0.8827362	0.8452012	0.6949649	0.7179941
Nephilingis_cruentata	11	6	13	13	5	3	3	10	1	4	12	9	8	7	2
Araneus_marmoreus-Nephilingis_cruentata-percCountMax	0.9564516	0.9400711	0.9395667	0.9395667	0.9176755	0.9765293	0.9765293	0.9635838	0.9725451	0.9495277	0.9472123	0.9524517	0.9026178	0.9518699	0.9584579
Oedothorax_gibbosus	2	1	5	5	4	10	10	8	11	3	6	9	7	x2	x2
Araneus_marmoreus-Oedothorax_gibbosus-percCountMax	0.9264069	0.9012097	0.8634886	0.8634886	0.9055459	0.9284497	0.9284497	0.9187697	0.9137199	0.9271137	0.8591954	0.8679632	0.7925581	0.2966102	0.3315995
Parasteatoda_lunata	8	4	9	9	6	3	3	7	2	5	1	1	10	x2	x1
Araneus_marmoreus-Parasteatoda_lunata-percCountMax	0.8013514	0.8345827	0.8523297	0.8523297	0.7995951	0.8215835	0.8215835	0.7941701	0.8218750	0.7733333	0.7629310	0.6063618	0.7433628	0.6822222	0.8228643
Pardosa_pseudoannulata	3	10	1	1	5	12	12	15	14	9	2	13	10	7	6
Araneus_marmoreus-Pardosa_pseudoannulata-percCountMax	0.4332604	0.4104046	0.4854369	0.4854369	0.4652352	0.4476190	0.4476190	0.5115304	0.4526967	0.4206426	0.5230024	0.5115304	0.3807870	0.4696629	0.6339286
Tetragnatha_montana	9	1	4	4	7	3	3	10	2	6	5	8	11	x2	x2
Araneus_marmoreus-Tetragnatha_montana-percCountMax	0.9028007	0.9005392	0.8753463	0.8753463	0.8807273	0.9351351	0.9351351	0.9088359	0.9153055	0.9312093	0.8565815	0.8774584	0.8253359	0.4688474	0.4821894
Trichonephila_antipodiana	7	11	9	9	4	6	6	8	2	1	3	5	10	12	13
Araneus_marmoreus-Trichonephila_antipodiana-percCountMax	0.6593925	0.5306076	0.5811609	0.5811609	0.6905651	0.6338610	0.6338610	0.6493678	0.8441351	0.7990666	0.6443328	0.5611997	0.6468318	0.5719963	0.6244617
Uloborus_diversus	4	1	8	8	1	1	1	5	4	6	5	7	7	3	10
Araneus_marmoreus-Uloborus_diversus-percCountMax	0.5181551	0.3445255	0.4248434	0.4248434	0.4498480	0.6765601	0.6765601	0.8321101	0.4730713	0.4326494	0.6210526	0.4581417	0.3886680	0.5543860	0.4685950
