Meta_bourneti	1	2	3	4	5	6	6	7	8	9	10	11	x1	x2	mt	mt
Amaurobius_ferox	4	3	7	12	8	6	6	15	1	16	5	2	x1	x1	2	2
Meta_bourneti-Amaurobius_ferox-percCountMax	0.4687767	0.4526874	0.4206349	0.3037975	0.5556595	0.4622980	0.4622980	0.4546351	0.5271536	0.4668705	0.4549499	0.6004141	0.3505572	0.3822660	1.0000000	1.0000000
Araneus_marmoreus	7	5	8	2	10	4	4	1	6	3	11	9	12	13	NA	NA
Meta_bourneti-Araneus_marmoreus-percCountMax	0.9416322	0.9224422	0.9043779	0.9104859	0.9333333	0.8776102	0.8776102	0.9292352	0.9336983	0.9138756	0.7884477	0.8087349	0.7048694	0.7017847	NA	NA
Argiope_bruennichi	1	4	2	3	9	5	5	6	8	7	10	11	x1	x2	mt	mt
Meta_bourneti-Argiope_bruennichi-percCountMax	0.9498734	0.9119958	0.9432665	0.9412955	0.9317862	0.8901283	0.8901283	0.9298365	0.9384437	0.9106280	0.8511146	0.7867036	0.7106955	0.6932654	1.0000000	1.0000000
Dysdera_silvatica	3	1	3	2	2	5	3	5	4	4	2	4	1	1	NA	NA
Meta_bourneti-Dysdera_silvatica-percCountMax	0.2182203	0.1926782	0.3554604	0.3302064	0.2004264	0.2103896	0.2103896	0.5314010	0.3364929	0.3442623	0.3196721	0.2783019	0.5283951	0.6460396	NA	NA
Ectatosticta_davidi	11	7	8	6	5	1	1	14	8	9	7	15	3	3	NA	NA
Meta_bourneti-Ectatosticta_davidi-percCountMax	0.2929688	0.1947450	0.2003745	0.3729373	0.3015873	0.2068966	0.2068966	0.5157480	0.2263780	0.2707510	0.4516971	0.2251908	0.2505447	0.3842593	NA	NA
Gibbaranea_gibbosa	3	2	4	5	1	1	1	2	6	3	7	8	x2	x1	NA	NA
Meta_bourneti-Gibbaranea_gibbosa-percCountMax	0.6800610	0.7798365	0.9259047	0.9416205	0.9417739	0.8923767	0.8923767	0.6973048	0.9471446	0.7951525	0.8254200	0.8002959	0.6950920	0.6951872	NA	NA
Hylyphantes_graminicola	3	7	1	9	5	4	4	11	6	10	8	2	13	12	NA	NA
Meta_bourneti-Hylyphantes_graminicola-percCountMax	0.9280042	0.9086323	0.9148191	0.9291251	0.9162791	0.9174023	0.9174023	0.9111446	0.9342185	0.8938807	0.8954996	0.8322368	0.4390421	0.4382022	NA	NA
Larinioides_cornutus	2	5	1	4	9	8	8	6	7	3	10	11	x2	x1	NA	NA
Meta_bourneti-Larinioides_cornutus-percCountMax	0.9459730	0.9068678	0.9372881	0.9394841	0.9229782	0.8906166	0.8906166	0.9222520	0.9372093	0.9133489	0.8359375	0.7752044	0.7040094	0.6856817	NA	NA
Latrodectus_elegans	12	2	14	2	10	3	3	6	5	11	7	5	9	1	10	13
Meta_bourneti-Latrodectus_elegans-percCountMax	0.8279045	0.3096257	0.5926573	0.5305067	0.4808542	0.6918317	0.6918317	0.7651147	0.5615616	0.8088663	0.6756303	0.6652602	0.5188485	0.6012422	0.5000000	0.5000000
Nephilingis_cruentata	1	3	4	6	9	5	5	11	10	13	8	12	7	2	NA	NA
Meta_bourneti-Nephilingis_cruentata-percCountMax	0.9569892	0.9385965	0.9554286	0.9361812	0.9476223	0.9351904	0.9351904	0.9369963	0.9496147	0.9151565	0.9172131	0.8318841	0.6867612	0.6791569	NA	NA
Oedothorax_gibbosus	11	10	3	1	9	4	4	2	8	5	7	6	x2	x2	NA	NA
Meta_bourneti-Oedothorax_gibbosus-percCountMax	0.9122958	0.9144543	0.9350504	0.9399684	0.9475806	0.9412331	0.9412331	0.9403471	0.9308300	0.9152542	0.8822816	0.8249158	0.2698795	0.3529412	NA	NA
Parasteatoda_lunata	2	3	5	4	1	6	6	8	7	9	10	1	x2	x1	mt	mt
Meta_bourneti-Parasteatoda_lunata-percCountMax	0.8749302	0.8241573	0.7877551	0.8671747	0.7215478	0.8505523	0.8505523	0.8508523	0.8381071	0.8318649	0.8305648	0.7981221	0.4495280	0.5950961	1.0000000	1.0000000
Pardosa_pseudoannulata	14	12	9	10	13	5	5	3	15	1	2	2	7	6	NA	NA
Meta_bourneti-Pardosa_pseudoannulata-percCountMax	0.4744852	0.4266212	0.4350337	0.4064838	0.5288562	0.5079840	0.5079840	0.4281116	0.5365613	0.4567901	0.3997555	0.5200893	0.4772257	0.6212560	NA	NA
Tetragnatha_montana	2	3	6	1	8	7	7	9	10	4	11	5	x1	x2	mt	mt
Meta_bourneti-Tetragnatha_montana-percCountMax	0.9485646	0.9242604	0.9567347	0.9550375	0.9104543	0.9424719	0.9424719	0.9431875	0.9320755	0.8781701	0.8858025	0.8433243	0.5846233	0.5955556	1.0000000	1.0000000
Trichonephila_antipodiana	2	6	1	11	5	4	4	7	8	9	10	3	12	13	10	10
Meta_bourneti-Trichonephila_antipodiana-percCountMax	0.8030151	0.5797562	0.8003365	0.5161453	0.6037111	0.7490062	0.7490062	0.6306246	0.6617905	0.5678627	0.6755906	0.4883382	0.4865811	0.4606205	1.0000000	1.0000000
Uloborus_diversus	4	1	6	1	7	1	1	4	5	8	9	5	3	3	NA	NA
Meta_bourneti-Uloborus_diversus-percCountMax	0.4853147	0.6546463	0.4548413	0.3295374	0.4310502	0.4856397	0.4856397	0.5689150	0.8395390	0.4093625	0.4166667	0.6631356	0.5289453	0.4615385	NA	NA
