chrom	length	bases	mean	min	max
Chr01	145648103	1199178836	8.23	0	3909
Chr02	141386430	831212394	5.88	0	20116
Chr03	140031403	1276007708	9.11	0	20591
Chr04	139941962	1179916771	8.43	0	4155
Chr05	138595503	1190244767	8.59	0	24081
Chr06	137962949	1211484061	8.78	0	23614
Chr07	131591024	867692500	6.59	0	4874
Chr08	128342415	1340695063	10.45	0	9446
Chr09	128190292	1088226323	8.49	0	5262
Chr10	124186034	1105592034	8.90	0	4110
Chr11	123255941	1190324291	9.66	0	2497
Chr12	113931073	1286443150	11.29	0	3689
Chr13	113589448	1087675128	9.58	0	1963
Contig1	700098	3364619	4.81	0	92
Contig2	503642	30036641	59.64	0	2162
Contig3	344253	16864344	48.99	0	342
Contig4	321678	5958218	18.52	0	338
Contig5	296227	37463669	126.47	0	5094
Contig6	269898	4564531	16.91	0	420
Contig7	247109	1040300	4.21	0	538
Contig8	216321	10683740	49.39	0	268
Contig9	207735	3012557	14.50	0	117
Contig10	203883	26013732	127.59	0	4454
Contig11	201865	1327952	6.58	0	118
Contig12	186051	10045149	53.99	0	335
Contig13	175421	4580	0.03	0	4
Contig14	156345	8934231	57.14	0	591
Contig15	150475	2017206	13.41	0	144
Contig16	135971	2207842	16.24	0	136
Contig17	122232	995240	8.14	0	211
Contig18	119172	1510	0.01	0	1
Contig19	116238	3759254	32.34	0	225
Contig20	106888	5242717	49.05	0	355
Contig21	105227	23	0.00	0	1
Contig22	104000	591401	5.69	0	72
Contig23	103890	334465	3.22	0	56
Contig24	101956	5099728	50.02	0	230
Contig25	101842	2344056	23.02	0	153
Contig26	101516	982578	9.68	0	78
Contig27	101398	4798187	47.32	0	337
Contig28	95547	2354704	24.64	0	183
Contig29	95481	1044	0.01	0	2
Contig30	91178	4130056	45.30	0	246
Contig31	89289	7084689	79.35	0	1018
Contig32	85415	100551	1.18	0	20
Contig33	82966	394859	4.76	0	62
Contig34	71306	2932561	41.13	0	284
Contig35	70975	699792	9.86	0	100
Contig36	64586	1795374	27.80	0	73
Contig37	58712	8181790	139.35	0	1043
Contig38	56242	62532	1.11	0	12
Contig39	55980	545573	9.75	0	72
Contig40	55876	97598	1.75	0	49
Contig41	52538	316646	6.03	0	45
Contig42	52225	297606	5.70	0	55
Contig43	51935	349112	6.72	0	62
Contig44	51768	735248	14.20	0	89
Contig45	51490	243729	4.73	0	29
Contig46	51380	2100011	40.87	0	143
Contig47	49726	67727	1.36	0	12
Contig48	47034	5932253	126.13	0	1032
Contig49	46659	692299	14.84	0	70
Contig50	44853	201398	4.49	0	33
Contig51	44290	90367	2.04	0	34
Contig52	44013	667854	15.17	0	334
Contig53	42418	100365	2.37	0	40
Contig54	41552	2350689	56.57	0	208
Contig55	41080	73056	1.78	0	24
Contig56	40328	210430	5.22	0	59
Contig57	39615	93838	2.37	0	54
Contig58	39487	135894	3.44	0	37
Contig59	39137	1978408	50.55	0	531
Contig60	38884	201557	5.18	0	72
Contig61	37723	66441	1.76	0	62
Contig62	37648	248828	6.61	0	63
Contig63	37400	1913473	51.16	0	319
Contig64	37388	392062	10.49	0	342
Contig65	37121	170752	4.60	0	35
Contig66	36478	2640314	72.38	0	399
Contig67	36157	67029	1.85	0	26
Contig68	35214	4494249	127.63	0	1045
Contig69	35099	975408	27.79	0	66
Contig70	34465	630003	18.28	0	713
Contig71	33919	87430	2.58	0	64
Contig72	33800	1575105	46.60	1	343
Contig73	33724	78747	2.34	0	36
Contig74	32706	98014	3.00	0	23
Contig75	31823	199118	6.26	0	73
Contig76	31655	973847	30.76	0	352
Contig77	31276	88894	2.84	0	63
Contig78	31158	415897	13.35	0	55
Contig79	30674	1866779	60.86	0	327
Contig80	29757	830635	27.91	0	130
Contig81	29483	3751069	127.23	0	1067
Contig82	29460	112482	3.82	0	56
Contig83	29339	71709	2.44	0	29
Contig84	28856	76001	2.63	0	31
Contig85	28693	118701	4.14	0	28
Contig86	28361	122567	4.32	0	23
Contig87	28171	52838	1.88	0	46
Contig88	28126	10901359	387.59	0	2328
Contig89	27995	54196	1.94	0	61
Contig90	27806	161287	5.80	0	39
Contig91	27729	177849	6.41	0	81
Contig92	27295	599032	21.95	0	92
Contig93	26816	850451	31.71	0	353
Contig94	26673	8840609	331.44	0	3388
Contig95	26456	234125	8.85	0	103
Contig96	26378	3647856	138.29	0	1026
Contig97	24768	1579392	63.77	0	390
Contig98	24699	139328	5.64	0	38
Contig99	24591	352027	14.32	0	91
Contig100	22915	24122	1.05	0	10
Contig101	22863	14176235	620.05	0	2378
Contig102	22697	1808901	79.70	0	415
Contig103	22371	1939312	86.69	0	657
Contig104	22046	305577	13.86	0	253
Contig105	21134	6298149	298.01	0	1952
Contig106	20804	7059135	339.32	0	2341
Contig107	19337	6174002	319.28	0	633
Contig108	18973	43240	2.28	0	63
Contig109	18357	482229	26.27	0	101
Contig110	17537	2155127	122.89	0	693
Contig111	17350	15490402	892.82	0	25489
Contig112	16706	7451544	446.04	0	3779
Contig113	16668	3028040	181.67	0	476
Contig114	16655	3643971	218.79	0	669
Contig115	16644	8098585	486.58	0	1224
Contig116	16067	2395608	149.10	0	768
Contig117	15129	2805559	185.44	0	830
Contig118	14319	5511263	384.89	0	5701
Contig119	14225	49954	3.51	0	30
Contig120	13711	5438356	396.64	0	2126
Contig121	13447	114598	8.52	0	69
Contig122	13333	47933	3.60	0	24
Contig123	13296	5679810	427.18	1	1335
Contig124	12896	7866686	610.01	0	3047
Contig125	12301	4461206	362.67	0	1382
Contig126	12285	6296783	512.56	0	1923
Contig127	12038	770400	64.00	0	349
Contig128	11836	53271	4.50	0	24
Contig129	11606	4146300	357.25	2	1578
Contig130	11535	677980	58.78	0	200
Contig131	11355	4486166	395.08	0	1378
Contig132	11217	4462160	397.80	0	1367
Contig133	10757	1429817	132.92	0	810
Contig134	10675	36944	3.46	0	21
Contig135	10639	3921	0.37	0	6
Contig136	9770	59386	6.08	0	45
Contig137	9436	5351390	567.12	0	3351
Contig138	9400	330274	35.14	0	524
Contig139	9286	2663664	286.85	0	775
Contig140	9145	3413819	373.30	0	2724
Contig141	8182	18473	2.26	0	21
Contig142	8104	71696	8.85	0	28
Contig143	7930	3577205	451.10	2	1481
Contig144	7885	5018834	636.50	0	5131
Contig145	7286	2388220	327.78	0	627
Contig146	7149	4937193	690.61	2	5683
Contig147	6653	2157612	324.31	0	953
Contig148	5710	2115041	370.41	0	1733
Contig149	5587	41776	7.48	0	36
Contig150	5543	7009	1.26	0	7
Contig151	5291	778913	147.21	0	506
Contig152	5228	1790806	342.54	0	1119
Contig153	5200	107480	20.67	0	236
Contig154	5183	1473060	284.21	4	1647
