species,chr,length
Amaurobius_ferox,20,110674794
Amaurobius_ferox,19,111329907
Amaurobius_ferox,18,128711411
Amaurobius_ferox,17,131308469
Amaurobius_ferox,16,140227850
Amaurobius_ferox,15,140838735
Amaurobius_ferox,14,143164100
Amaurobius_ferox,13,144347614
Amaurobius_ferox,12,146107168
Amaurobius_ferox,11,146522443
Amaurobius_ferox,10,146640716
Amaurobius_ferox,9,149263987
Amaurobius_ferox,8,153399618
Amaurobius_ferox,x3,156492996
Amaurobius_ferox,x2,158194519
Amaurobius_ferox,7,163420786
Amaurobius_ferox,6,167267631
Amaurobius_ferox,5,168106873
Amaurobius_ferox,4,171818313
Amaurobius_ferox,3,172735607
Amaurobius_ferox,2,180232785
Amaurobius_ferox,1,182283388
Amaurobius_ferox,x1,214309029
Araneus_marmoreus,9,142924705
Araneus_marmoreus,12,147842533
Araneus_marmoreus,13,154796914
Araneus_marmoreus,1,171155503
Araneus_marmoreus,11,177740426
Araneus_marmoreus,3,180742290
Araneus_marmoreus,6,181787816
Araneus_marmoreus,4,181895792
Araneus_marmoreus,10,183046659
Araneus_marmoreus,8,201540963
Araneus_marmoreus,5,202412637
Araneus_marmoreus,2,205971813
Araneus_marmoreus,7,210192010
Argiope_bruennichi,11,105101263
Argiope_bruennichi,10,127865338
Argiope_bruennichi,9,130975627
Argiope_bruennichi,8,133229410
Argiope_bruennichi,7,136447494
Argiope_bruennichi,x1,137459008
Argiope_bruennichi,6,139055214
Argiope_bruennichi,x2,139068055
Argiope_bruennichi,5,139820183
Argiope_bruennichi,4,144108507
Argiope_bruennichi,3,146223468
Argiope_bruennichi,2,146539707
Argiope_bruennichi,1,151336912
Dysdera_silvatica,8,22260796
Dysdera_silvatica,7,80954097
Dysdera_silvatica,6,125974146
Dysdera_silvatica,5,129237514
Dysdera_silvatica,4,174235172
Dysdera_silvatica,3,176727214
Dysdera_silvatica,2,177171321
Dysdera_silvatica,1,317950935
Ectatosticta_davidi,9,50424090
Ectatosticta_davidi,10,71470320
Ectatosticta_davidi,8,81784701
Ectatosticta_davidi,4,84234813
Ectatosticta_davidi,14,89152962
Ectatosticta_davidi,1,115091208
Ectatosticta_davidi,13,138455864
Ectatosticta_davidi,5,138590677
Ectatosticta_davidi,15,144528442
Ectatosticta_davidi,2,146181876
Ectatosticta_davidi,12,147084775
Ectatosticta_davidi,6,161064874
Ectatosticta_davidi,7,223934675
Ectatosticta_davidi,3,247641328
Ectatosticta_davidi,11,272650601
Gibbaranea_gibbosa,11,47599537
Gibbaranea_gibbosa,10,56361457
Gibbaranea_gibbosa,9,150933716
Gibbaranea_gibbosa,x2,178819770
Gibbaranea_gibbosa,x1,186288800
Gibbaranea_gibbosa,8,190426408
Gibbaranea_gibbosa,7,211948663
Gibbaranea_gibbosa,6,216376107
Gibbaranea_gibbosa,5,226107600
Gibbaranea_gibbosa,4,238899581
Gibbaranea_gibbosa,3,316735568
Gibbaranea_gibbosa,2,318483847
Gibbaranea_gibbosa,1,435785853
Hylyphantes_graminicola,13,47398548
Hylyphantes_graminicola,12,50244781
Hylyphantes_graminicola,11,68176049
Hylyphantes_graminicola,10,71164539
Hylyphantes_graminicola,9,73448031
Hylyphantes_graminicola,8,74199029
Hylyphantes_graminicola,7,76880528
Hylyphantes_graminicola,6,77076427
Hylyphantes_graminicola,5,77716358
Hylyphantes_graminicola,4,78099887
Hylyphantes_graminicola,3,78449616
Hylyphantes_graminicola,2,79125257
Hylyphantes_graminicola,1,79705071
Larinioides_cornutus,x2,144779222
Larinioides_cornutus,x1,153768599
Larinioides_cornutus,11,156755353
Larinioides_cornutus,10,165831826
Larinioides_cornutus,9,172091713
Larinioides_cornutus,8,174119040
Larinioides_cornutus,7,175460346
Larinioides_cornutus,6,182091086
Larinioides_cornutus,5,183064937
Larinioides_cornutus,4,188042377
Larinioides_cornutus,3,188699659
Larinioides_cornutus,2,189228834
Larinioides_cornutus,1,195781397
Latrodectus_elegans,10,70395454
Latrodectus_elegans,4,84326276
Latrodectus_elegans,13,88694972
Latrodectus_elegans,7,95061165
