Parasteatoda_lunata	1	2	3	4	5	6	7	8	9	10	x1	x2
Amaurobius_ferox	8	4	3	12	7	6	1	15	16	5	x1	x1
Parasteatoda_lunata-Amaurobius_ferox-percCountMax	0.3601434	0.4099379	0.4065990	0.2708848	0.4149533	0.4270270	0.5100830	0.3580868	0.3760000	0.3790892	0.4205714	0.3300712
Araneus_marmoreus	10	7	5	2	8	4	6	1	3	11	13	12
Parasteatoda_lunata-Araneus_marmoreus-percCountMax	0.5089087	0.8100875	0.7993647	0.8096852	0.8011292	0.7551020	0.8344785	0.7691808	0.6452666	0.7270758	0.7933333	0.8623596
Argiope_bruennichi	9	1	4	3	2	5	8	6	7	10	x2	x1
Parasteatoda_lunata-Argiope_bruennichi-percCountMax	0.4860963	0.7974619	0.7834625	0.8217636	0.8275862	0.7449102	0.8294960	0.7576515	0.7073482	0.7113475	0.7784997	0.8505338
Dysdera_silvatica	4	4	1	2	3	5	4	5	4	2	1	1
Parasteatoda_lunata-Dysdera_silvatica-percCountMax	0.2038288	0.2328605	0.2322097	0.3256659	0.3555556	0.2096273	0.3179104	0.3895706	0.3362832	0.3151618	0.6151468	0.5236908
Ectatosticta_davidi	5	11	7	6	8	1	8	14	11	7	3	3
Parasteatoda_lunata-Ectatosticta_davidi-percCountMax	0.1802444	0.2513369	0.1749210	0.3650465	0.2097701	0.2038462	0.2675497	0.3971166	0.2462312	0.3811024	0.3810219	0.2988764
Gibbaranea_gibbosa	1	3	2	5	4	1	6	2	3	7	x1	x2
Parasteatoda_lunata-Gibbaranea_gibbosa-percCountMax	0.5116784	0.5905350	0.6825397	0.8298289	0.8363636	0.8270096	0.8361183	0.6031537	0.5945343	0.7400140	0.7844348	0.8724203
Hylyphantes_graminicola	5	3	7	9	1	4	6	11	10	8	12	13
Parasteatoda_lunata-Hylyphantes_graminicola-percCountMax	0.5405819	0.8184224	0.8140331	0.8029583	0.8400504	0.7946317	0.8612962	0.7736878	0.6831742	0.7887422	0.4549965	0.4834369
Larinioides_cornutus	9	2	5	4	1	8	7	6	3	10	x1	x2
Parasteatoda_lunata-Larinioides_cornutus-percCountMax	0.5044950	0.8100756	0.7866130	0.8265306	0.8172354	0.7511655	0.8270042	0.7728984	0.6400670	0.7288950	0.7847800	0.8529412
Latrodectus_elegans	10	12	2	2	14	3	5	6	11	7	1	9
Parasteatoda_lunata-Latrodectus_elegans-percCountMax	0.3258298	0.7410237	0.3213703	0.4993949	0.6293605	0.6747088	0.5187115	0.6817748	0.7847826	0.6215596	0.7353653	0.6615293
Meta_bourneti	5	1	2	4	3	6	8	7	9	10	x2	x1
Parasteatoda_lunata-Meta_bourneti-percCountMax	0.5385488	0.8379679	0.8343840	0.8371112	0.8275015	0.8229364	0.8589744	0.7923026	0.7210493	0.7769111	0.5762821	0.5858491
Nephilingis_cruentata	9	1	3	6	4	5	10	11	13	8	2	7
Parasteatoda_lunata-Nephilingis_cruentata-percCountMax	0.4902785	0.8105263	0.7909664	0.8212537	0.8314337	0.7946317	0.8328192	0.7652116	0.7351916	0.7500000	0.7607772	0.8253546
Oedothorax_gibbosus	9	11	10	1	3	4	8	2	5	7	x2	x2
Parasteatoda_lunata-Oedothorax_gibbosus-percCountMax	0.5617871	0.8455949	0.8028436	0.8504958	0.8712644	0.8424182	0.8580000	0.8324873	0.7376705	0.8072976	0.3192686	0.2181818
Pardosa_pseudoannulata	13	14	12	10	9	5	15	3	1	2	6	7
Parasteatoda_lunata-Pardosa_pseudoannulata-percCountMax	0.3542129	0.4097641	0.3709232	0.4034598	0.4050715	0.4592834	0.5030902	0.3608815	0.3705011	0.3473910	0.5555556	0.4384328
Tetragnatha_montana	8	2	3	1	6	7	10	9	4	11	x1	x2
Parasteatoda_lunata-Tetragnatha_montana-percCountMax	0.5218712	0.8260606	0.8260026	0.8272189	0.8357792	0.7867232	0.8258303	0.7916667	0.7412379	0.7478705	0.4394319	0.5897436
Trichonephila_antipodiana	5	2	6	11	1	4	8	7	9	10	13	12
Parasteatoda_lunata-Trichonephila_antipodiana-percCountMax	0.3414109	0.6815844	0.5000000	0.4565217	0.6997664	0.6281741	0.5832282	0.5068922	0.4294913	0.5450000	0.5220126	0.5170507
Uloborus_diversus	6	4	1	1	6	1	5	4	8	7	3	3
Parasteatoda_lunata-Uloborus_diversus-percCountMax	0.2992352	0.4240741	0.5766148	0.2976023	0.4193548	0.4204678	0.7409988	0.4668305	0.3672858	0.3623275	0.4294638	0.5533118
