Hylyphantes_graminicola	1	10	11	12	13	2	3	4	5	6	7	8	9
Amaurobius_ferox	7	16	15	x1	x2	2	4	6	8	1	3	5	12
Hylyphantes_graminicola-Amaurobius_ferox-percCountMax	0.4147510	0.4796480	0.4295635	0.4379562	0.3286713	0.5553603	0.4757282	0.4526786	0.5416667	0.5214669	0.4713693	0.4208531	0.2792793
Araneus_marmoreus	8	3	1	13	12	9	7	4	10	6	5	11	2
Hylyphantes_graminicola-Araneus_marmoreus-percCountMax	0.8755622	0.9011544	0.9328733	0.5677656	0.5913212	0.6991474	0.8548320	0.8066386	0.9010276	0.9067410	0.9208354	0.8616891	0.9384076
Argiope_bruennichi	2	7	6	x2	x1	11	1	5	9	8	4	10	3
Hylyphantes_graminicola-Argiope_bruennichi-percCountMax	0.9066471	0.9000729	0.9252513	0.5829726	0.5883508	0.7294982	0.8942098	0.8416887	0.9009164	0.9254321	0.9132311	0.8624606	0.9563297
Dysdera_silvatica	3	6	5	1	1	4	4	5	2	4	1	2	2
Hylyphantes_graminicola-Dysdera_silvatica-percCountMax	0.3094778	0.3397590	0.5334928	0.6836364	0.5695793	0.2880000	0.2367347	0.2277040	0.2187500	0.2931727	0.2040816	0.3729216	0.3429084
Ectatosticta_davidi	8	9	14	3	3	15	11	12	5	8	7	7	6
Hylyphantes_graminicola-Ectatosticta_davidi-percCountMax	0.1769759	0.3027140	0.5466102	0.3432836	0.2880795	0.2319277	0.2474916	0.1900000	0.2829181	0.2580645	0.1784661	0.4099379	0.3996711
Gibbaranea_gibbosa	4	3	2	x1	x2	8	3	1	1	6	2	7	5
Hylyphantes_graminicola-Gibbaranea_gibbosa-percCountMax	0.8897959	0.7818182	0.6664577	0.5750371	0.5994587	0.7010676	0.6300847	0.8507307	0.9090420	0.9212519	0.7648434	0.8718883	0.9552089
Larinioides_cornutus	1	3	6	x1	x2	11	2	8	9	7	5	10	4
Hylyphantes_graminicola-Larinioides_cornutus-percCountMax	0.8899172	0.9094767	0.9275715	0.5740203	0.5885383	0.6997608	0.8696356	0.8399200	0.8909378	0.9259620	0.9092185	0.8690191	0.9569216
Latrodectus_elegans	14	11	6	1	9	5	12	3	10	5	2	7	2
Hylyphantes_graminicola-Latrodectus_elegans-percCountMax	0.5657112	0.8042011	0.7233310	0.5258141	0.4192771	0.6166008	0.7866044	0.6305992	0.4816054	0.5000000	0.3177621	0.6250000	0.5080128
Meta_bourneti	3	9	7	x2	x1	11	1	6	5	8	2	10	4
Hylyphantes_graminicola-Meta_bourneti-percCountMax	0.8975973	0.9023438	0.8883174	0.4854772	0.4963145	0.7470588	0.9052035	0.8836364	0.8801785	0.9268585	0.9312933	0.8689859	0.9368715
Nephilingis_cruentata	4	13	11	2	7	12	1	5	9	10	3	8	6
Hylyphantes_graminicola-Nephilingis_cruentata-percCountMax	0.9279368	0.9075269	0.9297573	0.5790220	0.5861183	0.8107753	0.9246637	0.8929730	0.9104215	0.9248008	0.9461771	0.9001860	0.9568089
Oedothorax_gibbosus	3	5	2	x2	x1	6	11	4	9	8	10	7	1
Hylyphantes_graminicola-Oedothorax_gibbosus-percCountMax	0.9231579	0.9402299	0.9688581	0.7831325	0.5188285	0.9276808	0.9355556	0.9517840	0.9484536	0.9468927	0.9377163	0.9293532	0.9655568
Parasteatoda_lunata	5	9	8	x1	x1	1	2	6	1	7	3	10	4
Hylyphantes_graminicola-Parasteatoda_lunata-percCountMax	0.7495798	0.8519615	0.7967989	0.5568966	0.3888426	0.7138927	0.8145034	0.7736650	0.7047113	0.8152359	0.8312212	0.8328467	0.8569024
Pardosa_pseudoannulata	9	1	3	6	6	2	14	5	13	15	12	2	10
Hylyphantes_graminicola-Pardosa_pseudoannulata-percCountMax	0.4185419	0.4871508	0.4142705	0.4178168	0.5006289	0.5188285	0.4500876	0.4738318	0.5206767	0.5207547	0.4332472	0.3760504	0.4269565
Tetragnatha_montana	6	4	9	x1	x2	5	2	7	8	10	3	11	1
Hylyphantes_graminicola-Tetragnatha_montana-percCountMax	0.8850952	0.8852018	0.8827647	0.4734607	0.4714286	0.7585644	0.8944844	0.8340054	0.8432234	0.9130737	0.9014745	0.8782609	0.9191853
Trichonephila_antipodiana	1	9	7	13	12	3	2	4	5	8	6	10	11
Hylyphantes_graminicola-Trichonephila_antipodiana-percCountMax	0.7884522	0.5516514	0.6202686	0.3980798	0.3909922	0.5055901	0.7955046	0.7032909	0.5722992	0.6510391	0.6166505	0.6709717	0.5102244
Uloborus_diversus	6	8	4	10	3	5	4	1	6	5	1	9	1
Hylyphantes_graminicola-Uloborus_diversus-percCountMax	0.4372197	0.4261975	0.5237684	0.4336283	0.4805195	0.6148532	0.4668008	0.4500805	0.4225352	0.8278884	0.6517857	0.3937397	0.3064047
